PC=C000 OP: JMP C5F5(ABS)  A:00 X:00 Y:00, P:24, S:FD
PC=C5F5 OP: LDX 0000(IMM)  A:00 X:00 Y:00, P:24, S:FD
PC=C5F7 OP: STX 0000(ZPG)  A:00 X:00 Y:00, P:26, S:FD
PC=C5F9 OP: STX 0010(ZPG)  A:00 X:00 Y:00, P:26, S:FD
PC=C5FB OP: STX 0011(ZPG)  A:00 X:00 Y:00, P:26, S:FD
PC=C5FD OP: JSR C72D(ABS)  A:00 X:00 Y:00, P:26, S:FD
PC=C72D OP: NOP ----(IMP)  A:00 X:00 Y:00, P:26, S:FB
PC=C72E OP: SEC ----(IMP)  A:00 X:00 Y:00, P:26, S:FB
PC=C72F OP: BCS C735(REL)  A:00 X:00 Y:00, P:27, S:FB
PC=C735 OP: NOP ----(IMP)  A:00 X:00 Y:00, P:27, S:FB
PC=C736 OP: CLC ----(IMP)  A:00 X:00 Y:00, P:27, S:FB
PC=C737 OP: BCS C73C(REL)  A:00 X:00 Y:00, P:26, S:FB
PC=C739 OP: JMP C740(ABS)  A:00 X:00 Y:00, P:26, S:FB
PC=C740 OP: NOP ----(IMP)  A:00 X:00 Y:00, P:26, S:FB
PC=C741 OP: SEC ----(IMP)  A:00 X:00 Y:00, P:26, S:FB
PC=C742 OP: BCC C747(REL)  A:00 X:00 Y:00, P:27, S:FB
PC=C744 OP: JMP C74B(ABS)  A:00 X:00 Y:00, P:27, S:FB
PC=C74B OP: NOP ----(IMP)  A:00 X:00 Y:00, P:27, S:FB
PC=C74C OP: CLC ----(IMP)  A:00 X:00 Y:00, P:27, S:FB
PC=C74D OP: BCC C753(REL)  A:00 X:00 Y:00, P:26, S:FB
PC=C753 OP: NOP ----(IMP)  A:00 X:00 Y:00, P:26, S:FB
PC=C754 OP: LDA 0000(IMM)  A:00 X:00 Y:00, P:26, S:FB
PC=C756 OP: BEQ C75C(REL)  A:00 X:00 Y:00, P:26, S:FB
PC=C75C OP: NOP ----(IMP)  A:00 X:00 Y:00, P:26, S:FB
PC=C75D OP: LDA 0040(IMM)  A:00 X:00 Y:00, P:26, S:FB
PC=C75F OP: BEQ C764(REL)  A:40 X:00 Y:00, P:24, S:FB
PC=C761 OP: JMP C768(ABS)  A:40 X:00 Y:00, P:24, S:FB
PC=C768 OP: NOP ----(IMP)  A:40 X:00 Y:00, P:24, S:FB
PC=C769 OP: LDA 0040(IMM)  A:40 X:00 Y:00, P:24, S:FB
PC=C76B OP: BNE C771(REL)  A:40 X:00 Y:00, P:24, S:FB
PC=C771 OP: NOP ----(IMP)  A:40 X:00 Y:00, P:24, S:FB
PC=C772 OP: LDA 0000(IMM)  A:40 X:00 Y:00, P:24, S:FB
PC=C774 OP: BNE C779(REL)  A:00 X:00 Y:00, P:26, S:FB
PC=C776 OP: JMP C77D(ABS)  A:00 X:00 Y:00, P:26, S:FB
PC=C77D OP: NOP ----(IMP)  A:00 X:00 Y:00, P:26, S:FB
PC=C77E OP: LDA 00FF(IMM)  A:00 X:00 Y:00, P:26, S:FB
PC=C780 OP: STA 0001(ZPG)  A:FF X:00 Y:00, P:A4, S:FB
PC=C782 OP: BIT 0001(ZPG)  A:FF X:00 Y:00, P:A4, S:FB
PC=C784 OP: BVS C78A(REL)  A:FF X:00 Y:00, P:E4, S:FB
